date,flow,pressure
3/6/2023 1:00,80,16
3/6/2023 2:00,80,16.5
3/6/2023 3:00,84,17
3/6/2023 4:00,80,17
3/6/2023 5:00,84,16.5
3/6/2023 6:00,84,13.5
3/6/2023 7:00,112,14
3/6/2023 8:00,104,14.5
3/6/2023 9:00,176,14
3/6/2023 10:00,148,13.5
3/6/2023 11:00,156,13.5
3/6/2023 12:00,136,14
3/6/2023 13:00,140,14.5
3/6/2023 14:00,124,14
3/6/2023 15:00,136,14.5
3/6/2023 16:00,148,14.5
3/6/2023 17:00,128,14
3/6/2023 18:00,148,13.5
3/6/2023 19:00,152,13.5
3/6/2023 20:00,200,14
3/6/2023 21:00,156,14
3/6/2023 22:00,132,14
3/6/2023 23:00,136,15
3/7/2023 0:00,112,14.5
3/7/2023 1:00,112,15.5
